id;project_id;bid_id;worker_id;unread_employer;unread_worker;total_messages;favorite;last_by;created;created_at
35471618;3164415;26235514;4639908;1;0;1;FALSO;worker;2025-7-15, 10:26;15/07/2025
35433456;3164433;26209310;548459;0;0;1;FALSO;worker;2025-7-11, 18:08;11/07/2025
35433485;3164433;26209325;7142118;0;0;1;FALSO;worker;2025-7-11, 18:10;11/07/2025
35433503;3164433;26209337;9772555;0;0;1;FALSO;worker;2025-7-11, 18:12;11/07/2025
35433588;3164433;26209403;1765074;0;0;1;FALSO;worker;2025-7-11, 18:22;11/07/2025
35433635;3164433;26209438;9774223;2;0;3;FALSO;worker;2025-7-11, 18:28;11/07/2025
35433729;3164433;26209489;8358860;0;0;1;FALSO;worker;2025-7-11, 18:37;11/07/2025
35434006;3164433;26209671;9110857;0;0;1;FALSO;worker;2025-7-11, 19:07;11/07/2025
35434014;3164433;26209679;8965749;1;0;1;FALSO;worker;2025-7-11, 19:08;11/07/2025
35434123;3164433;26209769;9907027;1;0;1;FALSO;worker;2025-7-11, 19:20;11/07/2025
35434232;3164433;26209867;8193368;1;0;1;FALSO;worker;2025-7-11, 19:35;11/07/2025
35434475;3164433;26210037;9777189;1;0;1;FALSO;worker;2025-7-11, 20:10;11/07/2025
35434516;3164433;26210054;324717;1;0;1;FALSO;worker;2025-7-11, 20:14;11/07/2025
35435403;3164433;26210671;3626041;1;0;1;FALSO;worker;2025-7-11, 22:25;11/07/2025
